106,21A4,0010000110100100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
107,21A8,0010000110101000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
108,21AC,0010000110101100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
109,21B0,0010000110110000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
110,21B4,0010000110110100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
111,21B8,0010000110111000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
112,21BC,0010000110111100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
113,21C0,0010000111000000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
114,21C4,0010000111000100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
115,21C8,0010000111001000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
116,21CC,0010000111001100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
117,21D0,0010000111010000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
118,21D4,0010000111010100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
119,21D8,0010000111011000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
120,21DC,0010000111011100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
121,21E0,0010000111100000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
122,21E4,0010000111100100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
123,21E8,0010000111101000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
124,21EC,0010000111101100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
125,21F0,0010000111110000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
126,21F4,0010000111110100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
127,21F8,0010000111111000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
128,21FC,0010000111111100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
